czas;SOC[%];SOH[%];napiecie_kolo[V];prad[A];temp[C];napięcie_cel_min[V];napięcie_cel_max[V];liczba_cykli;alarm
2025-06-15 00:00;25;98;4,;1,;20;,5;,5;452;NIE
2025-06-15 06:00;58;98;5,;2,;25;,1;,1;458;NIE
2025-06-15 12:00;95;96;5,;3,;32;,7;,7;464;NIE
2025-06-15 18:00;62;96;4,;-2,;28;,1;,1;470;NIE
2025-06-16 00:00;22;96;4,;-1,;22;,5;,5;476;NIE
2025-06-16 06:00;42;96;4,;1,;22;,7;,7;483;NIE
2025-06-16 12:00;95;96;5,;3,;28;,3;,3;489;NIE
2025-06-16 18:00;65;96;5,;-2,;33;,8;,8;494;NIE
2025-06-17 00:00;32;95;4,;-1,;34;,3;,3;499;NIE
2025-06-20 20:00;52;95;4,;-2,;40;,0;,0;520;TAK



